OBJECTID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,REGION,YEAR,WEEK,PERC_UNWEIGHTED_ILI,ILITOTAL,NUM_OF_PROVIDERS,TOTAL_PATIENTS,SEASON_WEEK,REGION_1,FREQUENCY,SUM_TOTAL_PATIENTS,SUM_ILITOTAL,MEAN_PERC_UNWEIGHTED_ILI,STATEFP_1,STATENS_1,AFFGEOID_1,GEOID_1,STUSPS_1,NAME_1,LSAD_1,ALAND_1,AWATER_1,Shape_Length_1,Shape_Area_1,REGION_12,YEAR_1,WEEK_1,PERC_UNWEIGHTED_ILI_1,ILITOTAL_1,NUM_OF_PROVIDERS_1,TOTAL_PATIENTS_1,SEASON_WEEK_1,REGION_12_13,FREQUENCY_1,SUM_TOTAL_SPECIMENS,SUM_TOTAL_A,SUM_TOTAL_B,MEAN_PERCENT_POSITIVE,MEAN_PERCENT_A,MEAN_PERCENT_B,STR_DOMINANCE,TOTAL_HH,MULTIGEN_HH,OTHER_HH,STATE,PCT_MULTIGEN
16,48,1779801,0400000US48,48,TX,Texas,0,6.76653E+11,19006305260,Texas,2018,40,2.57487,730,108,28351,1,Texas,52,1324167,54681,3.833042635,48,1779801,0400000US48,48,TX,Texas,0,6.76653E+11,19006305260,8616509.817,9.26232E+11,Texas,2018,40,2.57487,730,108,28351,1,Texas,52,116414,17218,2103,9.48,7.744615385,1.734230769,Type A Dominant,9985126,485283,9499843,Texas,4.860058852
17,6,1779778,0400000US06,6,CA,California,0,4.03504E+11,20463871877,California,2018,40,1.48324,698,104,47059,1,California,52,2241874,47141,2.050373942,6,1779778,0400000US06,6,CA,California,0,4.03504E+11,20463871877,5849971.615,7.32142E+11,California,2018,40,1.48324,698,104,47059,1,California,52,36953,3287,160,6.317884615,5.890384615,0.427307692,Type A Dominant,13157873,765875,12391998,California,5.820659616
18,1,1779775,0400000US01,1,AL,Alabama,0,1.31174E+11,4593327154,Alabama,2018,40,1.62895,640,79,39289,1,Alabama,52,1993283,57454,2.831950942,1,1779775,0400000US01,1,AL,Alabama,0,1.31174E+11,4593327154,2082999.416,1.51363E+11,Alabama,2018,40,1.62895,640,79,39289,1,Alabama,52,27330,2118,348,6.580192308,5.028653846,1.551538462,Type A Dominant,1897576,71246,1826330,Alabama,3.754579527
19,13,1705317,0400000US13,13,GA,Georgia,0,1.49482E+11,4422936154,Georgia,2018,40,2.31987,1850,95,79746,1,Georgia,52,4062083,124418,3.019021865,13,1705317,0400000US13,13,GA,Georgia,0,1.49482E+11,4422936154,2189731.064,1.67002E+11,Georgia,2018,40,2.31987,1850,95,79746,1,Georgia,52,54393,4922,580,6.759230769,5.675576923,1.083269231,Type A Dominant,3852714,169311,3683403,Georgia,4.394590411
20,42,1779798,0400000US42,42,PA,Pennsylvania,0,1.15884E+11,3394589990,Pennsylvania,2018,40,0.901871,536,139,59432,1,Pennsylvania,52,2668571,41678,1.519939827,42,1779798,0400000US42,42,PA,Pennsylvania,0,1.15884E+11,3394589990,1616706.165,1.21866E+11,Pennsylvania,2018,40,0.901871,536,139,59432,1,Pennsylvania,52,21263,2784,49,7.455,7.290961538,0.164230769,Type A Dominant,5119249,165941,4953308,Pennsylvania,3.24151062
21,29,1779791,0400000US29,29,MO,Missouri,0,1.78051E+11,2489425460,Missouri,2018,40,0.581937,25,17,4296,1,Missouri,52,150345,3330,1.872066206,29,1779791,0400000US29,29,MO,Missouri,0,1.78051E+11,2489425460,2568010.882,2.12114E+11,Missouri,2018,40,0.581937,25,17,4296,1,Missouri,52,56753,7040,108,6.819423077,6.660192308,0.159615385,Type A Dominant,2458337,69100,2389237,Missouri,2.810843265
22,8,1779779,0400000US08,8,CO,Colorado,0,2.68423E+11,1181621593,Colorado,2018,40,2.08215,843,72,40487,1,Colorado,52,2076257,67788,3.245594846,8,1779779,0400000US08,8,CO,Colorado,0,2.68423E+11,1181621593,2473198.299,3.72918E+11,Colorado,2018,40,2.08215,843,72,40487,1,Colorado,52,30678,4487,357,9.230961538,8.358461538,0.872115385,Type A Dominant,2235103,70173,2164930,Colorado,3.139586856
23,49,1455989,0400000US49,49,UT,Utah,0,2.12886E+11,6998824394,Utah,2018,40,1.12891,258,51,22854,1,Utah,52,1006228,27673,2.699797635,49,1455989,0400000US49,49,UT,Utah,0,2.12886E+11,6998824394,2422559.788,3.32129E+11,Utah,2018,40,1.12891,258,51,22854,1,Utah,52,39211,6109,292,8.253076923,7.771538462,0.480769231,Type A Dominant,1023855,37370,986485,Utah,3.649930898
24,47,1325873,0400000US47,47,TN,Tennessee,0,1.06803E+11,2350123465,Tennessee,2018,40,0.458461,33,45,7198,1,Tennessee,52,339646,5948,1.635542769,47,1325873,0400000US47,47,TN,Tennessee,0,1.06803E+11,2350123465,2218691.349,1.21804E+11,Tennessee,2018,40,0.458461,33,45,7198,1,Tennessee,39,4775,348,85,7.274615385,5.163333333,2.11,Type A Dominant,2654737,93371,2561366,Tennessee,3.517146896
25,56,1779807,0400000US56,56,WY,Wyoming,0,2.51459E+11,1867670745,Wyoming,2018,40,1.69995,63,18,3706,1,Wyoming,52,165099,2821,1.435402485,56,1779807,0400000US56,56,WY,Wyoming,0,2.51459E+11,1867670745,2366000.726,3.44103E+11,Wyoming,2018,40,1.69995,63,18,3706,1,,,50000,483,68,7.26,5.16,3.11,Type A Dominant,233128,3622,229506,Wyoming,1.553652929
26,36,1779796,0400000US36,36,NY,New York,0,1.22049E+11,19246994695,New York,2018,40,0.964964,623,131,64562,1,New York,52,3098776,52381,1.654035096,36,1779796,0400000US36,36,NY,New York,0,1.22049E+11,19246994695,2874520.723,1.30234E+11,New York,2018,40,0.964964,623,131,64562,1,New York,52,119901,14102,308,7.211346154,7.005769231,0.206153846,Type A Dominant,7446812,321531,7125281,New York,4.317699977
27,20,481813,0400000US20,20,KS,Kansas,0,2.11755E+11,1344141205,Kansas,2018,40,0.86426,119,33,13769,1,Kansas,52,685444,13103,1.776176981,20,481813,0400000US20,20,KS,Kansas,0,2.11755E+11,1344141205,2253368.223,2.68463E+11,Kansas,2018,40,0.86426,119,33,13769,1,Kansas,52,4258,254,78,5.260576923,3.806346154,1.454615385,Type A Dominant,1138329,28874,1109455,Kansas,2.536525029
28,2,1785533,0400000US02,2,AK,Alaska,0,1.47884E+12,2.45482E+11,Alaska,2018,40,1.99899,79,15,3952,1,Alaska,52,235252,7428,3.006269731,2,1785533,0400000US02,2,AK,Alaska,0,1.47884E+12,2.45482E+11,17603415.89,2.57527E+11,Alaska,2018,40,1.99899,79,15,3952,1,Alaska,11,144,9,2,7.431818182,6.100909091,1.331818182,Type A Dominant,252199,8784,243415,Alaska,3.48296385
29,32,1779793,0400000US32,32,NV,Nevada,0,2.8433E+11,2047206072,Nevada,2018,40,0.389035,65,35,16708,1,Nevada,52,556882,7137,1.327655096,32,1779793,0400000US32,32,NV,Nevada,0,2.8433E+11,2047206072,3024489.314,4.67995E+11,Nevada,2018,40,0.389035,65,35,16708,1,Nevada,38,1322,229,10,12.36447368,11.73315789,0.631052632,Type A Dominant,1143557,50809,1092748,Nevada,4.443066677
30,17,1779784,0400000US17,17,IL,Illinois,0,1.43781E+11,6214824948,Illinois,2018,40,0.791928,394,100,49752,1,Illinois,52,2202642,35793,1.534586385,17,1779784,0400000US17,17,IL,Illinois,0,1.43781E+11,6214824948,2231049.7,1.64701E+11,Illinois,2018,40,0.791928,394,100,49752,1,Illinois,52,15094,1718,127,7.490384615,6.838269231,0.652884615,Type A Dominant,4866006,162390,4703616,Illinois,3.337233863
31,50,1779802,0400000US50,50,VT,Vermont,0,23874175944,1030416650,Vermont,2018,40,1.06898,53,14,4958,1,Vermont,52,272138,4882,1.606027327,50,1779802,0400000US50,50,VT,Vermont,0,23874175944,1030416650,903921.2541,25252092881,Vermont,2018,40,1.06898,53,14,4958,1,Vermont,49,6803,1043,75,9.120816327,7.853265306,1.267346939,Type A Dominant,262767,4898,257869,Vermont,1.864008799
32,30,767982,0400000US30,30,MT,Montana,0,3.76963E+11,3869208832,Montana,2018,40,0.634962,49,30,7717,1,Montana,52,395200,5205,1.196311346,30,767982,0400000US30,30,MT,Montana,0,3.76963E+11,3869208832,3614577.929,5.05221E+11,Montana,2018,40,0.634962,49,30,7717,1,Montana,52,9113,1431,108,8.017115385,7.306346154,0.710769231,Type A Dominant,437651,8369,429282,Montana,1.912254285
33,19,1779785,0400000US19,19,IA,Iowa,0,1.44661E+11,1084180812,Iowa,2018,40,0.507453,32,20,6306,1,Iowa,52,271417,2811,0.967768596,19,1779785,0400000US19,19,IA,Iowa,0,1.44661E+11,1084180812,1975477.455,1.6987E+11,Iowa,2018,40,0.507453,32,20,6306,1,Iowa,52,12513,1765,13,8.013269231,7.761923077,0.251346154,Type A Dominant,1287221,25378,1261843,Iowa,1.971534026
34,45,1779799,0400000US45,45,SC,South Carolina,0,77864918488,5075218778,South Carolina,2018,40,1.36324,217,26,15918,1,South Carolina,52,708869,20955,2.820295962,45,1779799,0400000US45,45,SC,South Carolina,0,77864918488,5075218778,1635199.356,86166908669,South Carolina,2018,40,1.36324,217,26,15918,1,South Carolina,52,18804,1568,42,5.144423077,4.870961538,0.273076923,Type A Dominant,1975915,75900,1900015,South Carolina,3.841258354
35,33,1779794,0400000US33,33,NH,New Hampshire,0,23189413166,1026675248,New Hampshire,2018,40,0.609756,19,16,3116,1,New Hampshire,52,120094,1225,0.928694165,33,1779794,0400000US33,33,NH,New Hampshire,0,23189413166,1026675248,925425.0824,24304125629,New Hampshire,2018,40,0.609756,19,16,3116,1,,,,,,,,,No Data,541396,15594,525802,New Hampshire,2.880331587
36,4,1779777,0400000US04,4,AZ,Arizona,0,2.94199E+11,1027337603,Arizona,2018,40,1.73525,307,42,17692,1,Arizona,52,832328,22168,2.499206,4,1779777,0400000US04,4,AZ,Arizona,0,2.94199E+11,1027337603,3056212.534,4.80705E+11,Arizona,2018,40,1.73525,307,42,17692,1,Arizona,52,15422,952,67,4.892692308,4.435384615,0.457884615,Type A Dominant,2670441,119504,2550937,Arizona,4.475066103
